quote_currency,ask_rate,ts,base_currency
USDT,77.8994299299,2023-05-10T06:59:59.999Z,RUB1
USDT,77.1470204158,2023-05-10T07:59:59.999Z,RUB1
USDT,76.9475214199,2023-05-10T08:59:59.999Z,RUB1
USDT,76.5340558208,2023-05-10T09:59:59.999Z,RUB1
USDT,76.247112133,2023-05-10T10:59:59.999Z,RUB1
USDT,76.1370494395,2023-05-10T11:59:59.999Z,RUB1
USDT,77.7700443649,2023-05-10T12:59:59.999Z,RUB1
USDT,76.161734352,2023-05-10T13:59:59.999Z,RUB1
USDT,76.1472312972,2023-05-10T14:59:59.999Z,RUB1
USDT,76.1519690746,2023-05-10T15:59:59.999Z,RUB1
USDT,76.1498493585,2023-05-10T16:59:59.999Z,RUB1
USDT,76.1680776651,2023-05-10T17:59:59.999Z,RUB1
USDT,76.1713502601,2023-05-10T18:59:59.999Z,RUB1
USDT,76.1648391365,2023-05-10T19:59:59.999Z,RUB1
USDT,76.1591516405,2023-05-10T20:59:59.999Z,RUB1
USDT,76.1650877737,2023-05-10T21:59:59.999Z,RUB1
USDT,76.1644069184,2023-05-10T22:59:59.999Z,RUB1
USDT,76.1670029816,2023-05-10T23:59:59.999Z,RUB1
USDT,76.1724049901,2023-05-11T00:59:59.999Z,RUB1
USDT,76.1511685388,2023-05-11T01:59:59.999Z,RUB1
USDT,76.1575002809,2023-05-11T02:59:59.999Z,RUB1
USDT,76.1507357631,2023-05-11T03:59:59.999Z,RUB1
USDT,76.0463422158,2023-05-11T04:59:59.999Z,RUB1
USDT,76.2601865513,2023-05-11T05:59:59.999Z,RUB1
USDT,76.1533441634,2023-05-11T06:59:59.999Z,RUB1
USDT,75.3512817779,2023-05-11T07:59:59.999Z,RUB1
USDT,75.3662439617,2023-05-11T08:59:59.999Z,RUB1
USDT,75.5596481581,2023-05-11T09:59:59.999Z,RUB1
USDT,76.1153742467,2023-05-11T10:59:59.999Z,RUB1
USDT,76.5216578828,2023-05-11T11:59:59.999Z,RUB1
USDT,76.1488021001,2023-05-11T12:59:59.999Z,RUB1
USDT,77.0722929742,2023-05-11T13:59:59.999Z,RUB1
USDT,76.826357553,2023-05-11T14:59:59.999Z,RUB1
USDT,76.906205663,2023-05-11T15:59:59.999Z,RUB1
USDT,76.9567049717,2023-05-11T16:59:59.999Z,RUB1
USDT,77.0487185446,2023-05-11T17:59:59.999Z,RUB1
USDT,77.0468231622,2023-05-11T18:59:59.999Z,RUB1
USDT,77.0283077626,2023-05-11T19:59:59.999Z,RUB1
USDT,77.0328153203,2023-05-11T20:59:59.999Z,RUB1
USDT,77.0269660386,2023-05-11T21:59:59.999Z,RUB1
USDT,77.0261368437,2023-05-11T22:59:59.999Z,RUB1
USDT,77.0379264795,2023-05-11T23:59:59.999Z,RUB1
USDT,77.0574693919,2023-05-12T00:59:59.999Z,RUB1
USDT,77.015303569,2023-05-12T01:59:59.999Z,RUB1
USDT,77.011447792,2023-05-12T02:59:59.999Z,RUB1
USDT,76.8482105301,2023-05-12T03:59:59.999Z,RUB1
USDT,76.2429925768,2023-05-12T04:59:59.999Z,RUB1
USDT,76.8030458742,2023-05-12T05:59:59.999Z,RUB1
USDT,76.6925541922,2023-05-12T06:59:59.999Z,RUB1
USDT,77.1777203939,2023-05-12T07:59:59.999Z,RUB1
USDT,77.0869128725,2023-05-12T08:59:59.999Z,RUB1
USDT,77.1515005889,2023-05-12T09:59:59.999Z,RUB1
USDT,77.1998892168,2023-05-12T10:59:59.999Z,RUB1
USDT,77.3104902149,2023-05-12T11:59:59.999Z,RUB1
USDT,77.0203799232,2023-05-12T12:59:59.999Z,RUB1
USDT,77.7640746393,2023-05-12T13:59:59.999Z,RUB1
USDT,77.6933562212,2023-05-12T14:59:59.999Z,RUB1
USDT,77.3814127508,2023-05-12T15:59:59.999Z,RUB1
USDT,77.3626384911,2023-05-12T16:59:59.999Z,RUB1
USDT,77.3762992989,2023-05-12T17:59:59.999Z,RUB1
USDT,77.7270068165,2023-05-12T18:59:59.999Z,RUB1
USDT,77.7268191914,2023-05-12T19:59:59.999Z,RUB1
USDT,77.7490186779,2023-05-12T20:59:59.999Z,RUB1
USDT,77.3866584856,2023-05-12T21:59:59.999Z,RUB1
USDT,77.3779613017,2023-05-12T22:59:59.999Z,RUB1
USDT,77.384422905,2023-05-12T23:59:59.999Z,RUB1
USDT,77.3765368014,2023-05-13T00:59:59.999Z,RUB1
USDT,77.3744004624,2023-05-13T01:59:59.999Z,RUB1
USDT,77.376835798,2023-05-13T02:59:59.999Z,RUB1
